IncidentDate,State,CityOrCounty,Address,Killed,Injured,Operations
"October 31, 2019",California,Orinda,"114 Lucille Way",4,4,N/A
"October 30, 2019",Pennsylvania,Philadelphia,"5000 block of Walton Ave",4,0,N/A
"October 29, 2019",California,"Long Beach","2709 E 7th St",3,9,N/A
"October 29, 2019",Maryland,Baltimore,"4700 block of Liberty Heights Ave",1,3,N/A
"October 28, 2019",Maryland,Baltimore,"4160 Pimlico Rd",1,3,N/A
"October 27, 2019",Michigan,Detroit,"East Outer Dr and Helen St",0,4,N/A
"October 27, 2019",Michigan,Lansing,"Balfour Dr and W Miller Rd",1,4,N/A
"October 26, 2019",Texas,Greenville,"2275 US-380",2,6,N/A
"October 24, 2019",Oklahoma,"Oklahoma City","1900 block of NW 12th St",2,2,N/A
"October 22, 2019",Oklahoma,"Oklahoma City (Midwest City)","7020 E Green Ave",1,3,N/A
"October 21, 2019","South Carolina",Sumter,"29 Wesmark Blvd",0,4,N/A
"October 20, 2019",Texas,"Port Arthur","1100 block of Vicksburg Ave",1,3,N/A
"October 19, 2019",Texas,"El Paso","3812 Truman Ave",1,3,N/A
"October 19, 2019",Pennsylvania,Duquesne,"600 block of Priscilla Ave",0,4,N/A
"October 15, 2019",Ohio,Columbus,"1600 block of Manchester Ave",0,4,N/A
"October 13, 2019",Pennsylvania,Philadelphia,"W Clearfield St and N 8th St",0,6,N/A
"October 13, 2019",Ohio,Akron,"Main St",0,4,N/A
"October 12, 2019","New York",Brooklyn,"75 Utica Ave",4,3,N/A
"October 12, 2019",Pennsylvania,Philadelphia,"700 block of W Russell St",1,3,N/A
"October 12, 2019",Illinois,Chicago,"6733 W Irving Park Rd",5,0,N/A
"October 12, 2019",Maryland,Baltimore,"800 block of W Lexington St",1,3,N/A
"October 12, 2019",Michigan,Eastpointe,"15163 E 10 Mile Rd",1,5,N/A
"October 10, 2019",Florida,Tampa,"5410 N Falkenburg Rd",2,2,N/A
"October 10, 2019",Pennsylvania,Philadelphia,"900 block of S 5th St",0,5,N/A
"October 9, 2019",Maryland,Baltimore,"1600 block of W North Ave",1,3,N/A
"October 7, 2019",Massachusetts,Abington,"135 Centre Ave",5,0,N/A
"October 6, 2019",Kansas,"Kansas City","1013 Central Ave",4,5,N/A
"October 6, 2019",Colorado,Denver,"7100 block of Ruth Way",0,4,N/A
"October 6, 2019",Indiana,Evansville,"1127 Chestnut St",0,5,N/A
"October 5, 2019",Missouri,"Saint Louis","10035 Crown Point Dr",0,5,N/A
"October 3, 2019","North Carolina",Roxboro,"700 South Foushee St",1,3,N/A
"October 3, 2019",Missouri,Marshall,"S Olson Ave",1,3,N/A
"October 1, 2019",Missouri,"Saint Louis","Leonor K. Sullivan Blvd and Poplar St",0,4,N/A
"September 29, 2019",Illinois,"Round Lake (Round Lake Park)","500 block of Fairlawn Ave",1,3,N/A
"September 29, 2019",Wisconsin,Milwaukee,"1500 block of N 29th St",0,4,N/A
"September 29, 2019",Florida,Jacksonville,"2200 block of Clemente Dr",0,4,N/A
"September 29, 2019",Kansas,Claflin,"1500 block of NE 100th Rd",0,4,N/A
"September 29, 2019",Texas,Beaumont,"4100 block of Highland Ave",4,0,N/A
"September 24, 2019",Illinois,Chicago,"2000 block of South Hoyne Ave",1,3,N/A
"September 23, 2019",Indiana,Gary,"1600 block of Connecticut St",2,2,N/A
"September 22, 2019",Missouri,"Kansas City","2111 Television Plaza",0,5,N/A
"September 21, 2019",Louisiana,"New Orleans","Poland Ave and St. Claude Ave",0,4,N/A
"September 21, 2019",Ohio,Cleveland,"3616 East 144th St",4,0,N/A
"September 21, 2019","South Carolina",Lancaster,"1399 Old Charlotte Rd",2,8,N/A
"September 21, 2019",Indiana,Indianapolis,"101 W Maryland St",0,6,N/A
"September 20, 2019",Louisiana,"New Orleans","Canal Blvd and City Park Ave",1,5,N/A
"September 19, 2019","District of Columbia",Washington,"1300 block of Columbia Rd NW",1,5,N/A
"September 18, 2019",Illinois,Chicago,"4200 block of W Madison St",3,1,N/A
"September 18, 2019",California,Wilmington,"800 block of Bayview Ave",2,2,N/A
"September 16, 2019",Wyoming,Cheyenne,"3436 E. 11th St",2,2,N/A
"September 14, 2019",Missouri,"Saint Louis","5200 block of Tennessee Ave",1,3,N/A
"September 14, 2019",California,Oakland,"38th Ave and MacArthur Blvd",1,4,N/A
"September 14, 2019",Georgia,Lagrange,"1400 block of Elm St",0,4,N/A
"September 12, 2019","New Mexico",Albuquerque,"1919 Ladera Dr NW",1,3,N/A
"September 12, 2019","New Mexico",Albuquerque,"1028 Lura Pl SW",4,2,N/A
"September 10, 2019",Illinois,Chicago,"2200 block of W Maypole Ave",0,4,N/A
"September 8, 2019","South Carolina",Sumter,"1083 Broad St",2,2,N/A
"September 8, 2019",Louisiana,Alexandria,"2900 block of Cypress St",1,3,N/A
"September 7, 2019","North Carolina",Whiteville,"Brittney Lane",3,1,N/A
"September 4, 2019",Florida,Jacksonville,"400 W 62nd St",0,4,N/A
"September 4, 2019",Louisiana,Marrero,"3044 Sorbonne Dr",2,2,N/A
"September 2, 2019",Alabama,Elkmont,"25019 Ridge Road",5,0,N/A
"September 2, 2019","North Carolina",Greensboro,"5528 W Market St",2,2,N/A
"September 2, 2019",Illinois,Chicago,"6200 block of S King Dr",0,4,N/A
"September 1, 2019",Connecticut,Hartford,"80 Edgewood St",1,3,N/A
"September 1, 2019","North Carolina","Rocky Mount","521 Country Club Road",0,4,N/A
"September 1, 2019",Alabama,Valley,"502 Boulevard",0,7,N/A
"September 1, 2019",Ohio,Toledo,"3257 Stickney Ave",0,4,N/A
"August 31, 2019",Texas,Odessa,"8250 TX 191",8,23,N/A
"August 31, 2019",Pennsylvania,Philadelphia,"4600 block of 4th St",2,2,N/A
"August 31, 2019","North Carolina",Charlotte,"10035 Dabney Dr",1,3,N/A
